index,time,open,high,low,close,volume
131,2023-10-02 10:00:00,172.4950,173.5970,172.3540,172.5670,8714162
130,2023-10-02 11:00:00,172.5650,173.8560,172.4590,172.6380,6202128
129,2023-10-02 12:00:00,172.6450,173.0880,172.3740,172.7380,4269957
128,2023-10-02 13:00:00,172.7400,173.1380,172.2840,172.6880,3671891
127,2023-10-02 14:00:00,172.6850,173.2680,172.1650,172.4490,4228157
126,2023-10-02 15:00:00,172.4350,173.3380,172.0880,173.3060,9337720
125,2023-10-03 10:00:00,172.8240,172.8590,170.3790,171.0720,9160387
124,2023-10-03 11:00:00,171.0590,171.5470,170.9180,171.3110,5209702
123,2023-10-03 12:00:00,171.3070,172.2510,171.2470,172.1190,4973654
122,2023-10-03 13:00:00,172.1060,172.3650,171.3070,171.5310,3932914
121,2023-10-03 14:00:00,171.5280,171.9610,171.1090,171.8300,4156232
120,2023-10-03 15:00:00,171.8170,172.0810,171.3370,172.0200,8990645
119,2023-10-04 10:00:00,172.0360,173.0490,171.4270,172.0100,10049156
118,2023-10-04 11:00:00,171.9970,172.7090,171.4170,172.6980,5713454
117,2023-10-04 12:00:00,172.6950,172.8490,172.3640,172.6680,3607555
116,2023-10-04 13:00:00,172.6550,172.6890,172.0150,172.0790,3514243
115,2023-10-04 14:00:00,172.0710,172.6990,171.9050,172.6370,3534332
114,2023-10-04 15:00:00,172.6450,173.7670,172.5840,173.2170,11361156
113,2023-10-05 10:00:00,173.4230,173.4330,172.2350,172.5580,7213443
112,2023-10-05 11:00:00,172.5550,173.3880,172.3840,173.0370,5927986
111,2023-10-05 12:00:00,173.0390,173.5870,172.9130,173.5030,4810814
110,2023-10-05 13:00:00,173.4970,174.5850,173.1970,174.4430,5704070
109,2023-10-05 14:00:00,174.4300,175.0040,174.2990,174.8820,5262443
108,2023-10-05 15:00:00,174.8840,174.9440,174.3890,174.5230,7008528
107,2023-10-06 10:00:00,173.5920,174.8340,172.9030,174.6830,8150237
106,2023-10-06 11:00:00,174.6820,176.3900,174.6380,176.3470,7569166
105,2023-10-06 12:00:00,176.3400,176.5990,175.8550,176.3680,5562087
104,2023-10-06 13:00:00,176.3750,176.9390,176.2340,176.8270,4884325
103,2023-10-06 14:00:00,176.8190,177.2540,176.6730,177.0870,4206125
102,2023-10-06 15:00:00,177.0780,177.5370,176.9420,177.0370,10472751
101,2023-10-09 10:00:00,176.7240,176.9090,175.7460,175.9200,5643896
100,2023-10-09 11:00:00,175.9110,176.7790,175.7360,176.7430,4378737
99,2023-10-09 12:00:00,176.7440,177.6170,176.7230,177.1460,4204806
98,2023-10-09 13:00:00,177.1530,178.3350,177.1020,178.2640,4095296
97,2023-10-09 14:00:00,178.2600,178.5840,177.9600,178.4310,4934020
96,2023-10-09 15:00:00,178.4300,178.5940,177.2520,178.5430,7552111
